4,2512,56.4866,0.095000 ms
19,20424,344.447,4.582000 ms
34,43560,256.845,19.584000 ms
49,61704,90.3103,14.851000 ms
64,83928,294.662,61.760000 ms
79,104616,230.109,92.817000 ms
94,124688,721.623,135.324000 ms
109,145384,294.024,90.443000 ms
124,167296,418.058,81.108000 ms
139,188216,547.406,182.628000 ms
154,217312,600.72,384.111000 ms
169,236160,135.406,119.533000 ms
184,250840,826.721,490.856000 ms
199,285688,555.057,539.363000 ms
214,286808,707.904,1283.513000 ms
229,307536,751.668,359.743000 ms
244,339784,338.889,256.397000 ms
259,356760,446.188,496.339000 ms
274,385944,485.911,502.639000 ms
289,395408,405.147,254.591000 ms
310,428720,234.415,101.105000 ms
350,489920,1157.99,2082.538000 ms
390,541000,1598.07,2186.173000 ms
430,599248,814.054,1545.846000 ms
470,656848,357.768,1054.427000 ms
