4,7496,83.1007,0.979000 ms
19,68336,381.7,34.071000 ms
34,136376,76.9555,65.433000 ms
49,204360,242.517,79.653000 ms
64,279600,300.862,523.117000 ms
79,342840,439.146,827.034000 ms
94,410824,361.294,500.128000 ms
109,471552,600.747,251.443000 ms
124,556392,693.117,1750.353000 ms
139,639000,203.367,572.333000 ms
154,714296,255.117,1906.145000 ms
169,784680,657.643,2534.079000 ms
184,830952,319.627,445.420000 ms
199,920760,678.846,5404.814000 ms
214,981432,120.566,874.264000 ms
229,1029992,378.294,5860.559000 ms
244,1134312,966.292,8700.806000 ms
259,1187784,496.904,6485.334000 ms
274,1280160,397.17,4069.392000 ms
289,1318952,636.144,9206.566000 ms
310,1423272,85.7981,221.336000 ms
350,1617512,1067.31,16577.082000 ms
390,1802152,445.263,5034.778000 ms
430,1996392,295.945,1903.294000 ms
470,2188232,1609.44,29075.981000 ms
