4,5096,126.42,0.211000 ms
19,68336,179.61,34.816000 ms
34,133976,159.879,50.046000 ms
49,204360,384.135,295.900000 ms
64,282000,217.974,376.244000 ms
79,340440,222.693,229.983000 ms
94,418024,291.434,750.630000 ms
109,476352,762.687,1286.744000 ms
124,546792,352.295,1182.660000 ms
139,643800,907.127,2378.033000 ms
154,707096,387.71,3245.954000 ms
169,775080,457.031,3772.312000 ms
184,835752,323.173,2368.732000 ms
199,923160,459.746,3897.993000 ms
214,981432,1472.17,5227.931000 ms
229,1044392,415.232,5148.445000 ms
244,1117512,210.609,107.722000 ms
259,1187784,951.159,9680.303000 ms
274,1284960,371.225,2117.567000 ms
289,1316552,776.673,7630.529000 ms
310,1411272,934.748,12186.406000 ms
350,1605512,1375.22,14132.840000 ms
390,1809352,789.487,7373.196000 ms
430,1996392,730.413,7811.702000 ms
470,2190632,874.352,23595.949000 ms
510,2392072,914.709,40806.822000 ms
