4,4848,159.617,0.418000 ms
19,51576,104.51,4.670000 ms
34,116768,276.275,85.754000 ms
49,154488,417.841,144.359000 ms
64,209424,355.628,219.627000 ms
79,283248,124.549,87.422000 ms
94,322824,298.177,391.116000 ms
109,368024,323.34,563.568000 ms
124,409280,360.207,689.139000 ms
139,505992,345.457,569.126000 ms
154,521352,536.878,1506.971000 ms
169,559704,689.583,1753.744000 ms
184,627192,858.712,2342.032000 ms
199,678872,234.72,966.666000 ms
214,796048,513.341,2387.938000 ms
229,768536,215.868,237.290000 ms
244,822464,509.459,3155.991000 ms
259,951312,1471.88,5011.080000 ms
274,937496,186.774,268.615000 ms
289,1002936,2250.36,6766.208000 ms
310,1074936,1009.87,6915.648000 ms
350,1222720,829.7,6112.619000 ms
390,1355760,753.362,2842.249000 ms
430,1546192,1487.71,18414.766000 ms
470,1690896,1006.76,7785.423000 ms
