4,376,82.5898,0.046000 ms
19,2216,349.026,0.293000 ms
34,4176,345.22,1.136000 ms
49,6120,512.485,1.278000 ms
64,8040,293.136,2.699000 ms
79,10120,1447.14,4.039000 ms
94,11904,1251.64,3.499000 ms
109,13752,165.424,2.781000 ms
124,15872,887.817,5.194000 ms
139,18320,526.044,6.299000 ms
154,20416,310.503,3.561000 ms
169,22360,228.367,4.344000 ms
184,23992,843.912,10.596000 ms
199,26520,560.208,10.466000 ms
214,28032,957.151,13.391000 ms
229,29392,980.582,14.682000 ms
244,31992,1016.92,25.228000 ms
259,33784,612.871,13.520000 ms
274,36320,693.159,14.928000 ms
289,37552,1157.24,23.850000 ms
310,40272,387.836,3.766000 ms
350,45512,1482.1,33.547000 ms
390,51152,988.971,23.582000 ms
430,56552,618.91,31.714000 ms
470,62032,1568.98,50.677000 ms
510,67472,1239.38,38.780000 ms
