4,416,8.85081,0.054000 ms
19,2256,623.973,0.284000 ms
34,4216,210.865,0.179000 ms
49,6200,228.933,0.805000 ms
64,8200,324.574,1.818000 ms
79,10240,435.696,2.323000 ms
94,12024,507.266,2.031000 ms
109,13832,593.254,1.072000 ms
124,15832,607.364,4.798000 ms
139,18280,443.059,5.137000 ms
154,20336,400.84,3.967000 ms
169,22160,424.076,6.002000 ms
184,23992,560.503,1.731000 ms
199,26360,714.821,0.855000 ms
214,28072,865.439,11.672000 ms
229,29312,1048.5,9.091000 ms
244,32312,1000.21,32.061000 ms
259,33744,1211.27,18.298000 ms
274,36560,1318.11,24.058000 ms
289,37512,832.7,20.858000 ms
310,40152,1936.05,23.556000 ms
350,45832,626.56,18.763000 ms
390,50952,1582.71,8.344000 ms
430,56472,614.773,36.315000 ms
470,61872,1826.76,44.653000 ms
510,67392,1090.81,41.406000 ms
