4,5096,55880.9,0.696000 ms
19,70736,113656,34.774000 ms
34,136376,134631,124.700000 ms
49,211616,92445.5,68.639000 ms
64,282056,22745.8,52.737000 ms
79,352496,65224.9,364.450000 ms
94,425336,66906.5,1020.979000 ms
109,500576,31350.5,1937.848000 ms
124,568616,76198.7,2679.029000 ms
139,634256,43036.5,1602.722000 ms
154,711896,72511.8,2664.371000 ms
169,787136,21307.6,1196.282000 ms
184,845576,29514.3,2437.688000 ms
199,928016,57831.7,4535.605000 ms
214,988856,23076.2,3097.703000 ms
229,1073696,40039.3,1257.505000 ms
244,1146536,48614.6,8891.754000 ms
259,1228976,38887,8096.054000 ms
274,1299416,20792.4,2769.358000 ms
289,1362656,54409.6,13113.009000 ms
310,1469432,67823.2,17862.159000 ms
350,1658872,55465.3,16452.411000 ms
390,1845912,29389,6369.449000 ms
430,2047352,33392.7,8164.810000 ms
470,2236792,38772.1,19296.032000 ms
510,2440632,35658.1,26064.447000 ms
550,2632472,52472.4,40561.130000 ms
590,2814712,41786.9,25016.051000 ms
