4,1848,2593.96,0.205000 ms
19,21192,82757,6.877000 ms
34,40536,99307.1,14.042000 ms
49,59248,55301.4,23.892000 ms
64,82384,33549.6,9.426000 ms
79,102992,20788.1,23.136000 ms
94,124232,114245,134.816000 ms
109,144840,64433.9,173.783000 ms
124,167344,80551.1,255.544000 ms
139,188584,59471.9,340.196000 ms
154,206664,92530.9,345.236000 ms
169,229800,17904.4,55.584000 ms
184,249776,49412,345.297000 ms
199,269752,36861.8,487.324000 ms
214,294152,70399.2,365.290000 ms
229,314128,45506.6,864.083000 ms
244,335368,53470,892.993000 ms
259,357240,61466,944.012000 ms
274,377848,26349.6,349.566000 ms
289,396560,42628,864.894000 ms
310,426928,31741.2,1151.202000 ms
350,483568,65661.6,1273.864000 ms
390,541472,87476,3824.644000 ms
430,598112,38834,1727.950000 ms
470,654120,45408.7,1262.147000 ms
510,710128,60502.9,4138.094000 ms
550,764872,25252.2,441.945000 ms
590,822144,19698.6,716.979000 ms
