4,1688,531523,0.315000 ms
19,21192,116483,5.174000 ms
34,43152,351499,21.277000 ms
49,64712,62806.1,20.228000 ms
64,85000,338138,77.848000 ms
79,107392,66403.2,16.386000 ms
94,125952,136502,142.146000 ms
109,150648,115203,159.501000 ms
124,171672,73055,68.675000 ms
139,190336,93628.8,316.955000 ms
154,213904,126975,413.839000 ms
169,236160,120658,370.091000 ms
184,259360,85868.9,584.349000 ms
199,279048,172625,717.605000 ms
214,306784,151518,782.474000 ms
229,319168,83290.8,685.318000 ms
244,344632,36889.9,248.476000 ms
259,369944,68202.6,671.238000 ms
274,387904,31464.1,286.238000 ms
289,410048,82118.6,937.207000 ms
310,440208,62696.4,1082.198000 ms
350,505200,42285.3,337.659000 ms
390,560304,30643.8,224.536000 ms
430,621584,70786.3,2038.636000 ms
470,674344,80143.6,1741.886000 ms
510,727944,47514.3,1517.253000 ms
550,793520,112496,2409.027000 ms
590,855152,33367.9,315.757000 ms
