4,1688,178008,0.166000 ms
19,21248,172503,3.545000 ms
34,41208,106790,7.659000 ms
49,64616,160419,35.981000 ms
64,84912,103200,59.433000 ms
79,105640,166772,75.636000 ms
94,129456,169094,149.039000 ms
109,150328,88515,127.268000 ms
124,174920,99277.4,173.577000 ms
139,191808,108479,316.130000 ms
154,215584,85975.1,329.317000 ms
169,238520,72928,310.587000 ms
184,262280,31878.3,70.707000 ms
199,272488,89042.5,138.850000 ms
214,302808,158712,793.549000 ms
229,323168,105068,409.287000 ms
244,343352,147790,1002.524000 ms
259,365624,41027,432.419000 ms
274,387912,56069.6,291.599000 ms
289,413536,112964,1380.578000 ms
310,439344,36586.8,186.114000 ms
350,507352,6933.75,36.377000 ms
390,558256,79639.5,2322.746000 ms
430,620528,73424.1,1215.646000 ms
470,669776,90126.7,3036.488000 ms
510,738432,33867,742.086000 ms
550,798624,64225.2,2466.434000 ms
590,852984,86195.2,3250.038000 ms
