4,376,386579,0.093000 ms
19,2256,171839,0.291000 ms
34,4216,291662,0.745000 ms
49,6136,294886,0.937000 ms
64,8256,360963,2.221000 ms
79,10256,306757,2.109000 ms
94,12296,157674,3.044000 ms
109,14296,126356,1.594000 ms
124,16256,184325,4.460000 ms
139,18336,113316,4.722000 ms
154,20496,146516,6.843000 ms
169,22416,157325,5.841000 ms
184,24496,166767,7.412000 ms
199,26536,159085,11.472000 ms
214,28496,52154.6,5.934000 ms
229,30496,160528,13.236000 ms
244,32736,40469.1,2.329000 ms
259,34536,187623,23.265000 ms
274,36616,105404,18.151000 ms
289,38616,106467,14.860000 ms
310,41592,160810,24.273000 ms
350,46992,102645,6.985000 ms
390,52552,90677.1,21.695000 ms
430,57832,72596.4,25.386000 ms
470,63152,163139,53.231000 ms
510,68792,16480.1,7.707000 ms
550,74152,199762,72.290000 ms
590,79592,136732,82.223000 ms
